"ID","Название","Код","Размер","Цвет","Материал","Состав","Цена","Фотографии","Дата","Коллекция","Статус","Расположение","other","yandex_market","sber_market","wildberrries","ozon","display","date_created","date_edited","ip","user_agent"
"2","Брюки","Бр-41/СРПш","S, M, L, XL, XXL","светло-серый","шерсть","шерсть 100%","31600",".there\image\Вежливый авангард\Брюки Бр-41\KSU05437.jpg,.there\image\Вежливый авангард\Брюки Бр-41\KSU05447.jpg,.there\image\Вежливый авангард\Брюки Бр-41\KSU05457.jpg,.there\image\Вежливый авангард\Брюки Бр-41\KSU05458.jpg","2024-02-22","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","2024-02-22 08:42:46","2024-02-23 10:01:11","NULL",NULL
"3","Брюки","БрД-37.1/ТСРш","S, M, L, XL, XXL","темно-серый","шерсть","шерсть 100%","32300",".there\image\Вежливый авангард\Брюки БрД-37.1\БрД-37.1 ТСРш\4.jpg,.there\image\Вежливый авангард\Брюки БрД-37.1\БрД-37.1 ТСРш\1.jpg,.there\image\Вежливый авангард\Брюки БрД-37.1\БрД-37.1 ТСРш\2.jpg,.there\image\Вежливый авангард\Брюки БрД-37.1\БрД-37.1 ТСРш\3.jpg","2024-02-22","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","2024-02-22 08:42:46","2024-02-23 10:01:13","NULL",NULL
"4","Жакет","Жк-15/СРПш","M, L, XL, XXL","светло-серый","шерсть","шерсть 100%","33000",".there\image\Вежливый авангард\Жакет Жк-15\Жк-15 СРПш\094A7357.jpg,.there\image\Вежливый авангард\Жакет Жк-15\Жк-15 СРПш\094A7287.jpg,.there\image\Вежливый авангард\Жакет Жк-15\Жк-15 СРПш\094A7299.jpg,.there\image\Вежливый авангард\Жакет Жк-15\Жк-15 СРПш\094A7305.jpg,.there\image\Вежливый авангард\Жакет Жк-15\Жк-15 СРПш\094A7315.jpg,.there\image\Вежливый авангард\Жакет Жк-15\Жк-15 СРПш\094A7316.jpg,.there\image\Вежливый авангард\Жакет Жк-15\Жк-15 СРПш\094A7325.jpg","2024-02-22","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","2024-02-22 08:42:46","2024-02-23 10:01:14","NULL",NULL
"5","Майка","МЦ-12/КРм","M, L, XL, 2XL","коричневый","шерсть","мохер 80%, полиэстер 20%","30300",".there\image\Вежливый авангард\Майка МЦ-12\МЦ-12 КРм\5.jpg,.there\image\Вежливый авангард\Майка МЦ-12\МЦ-12 КРм\1.jpg,.there\image\Вежливый авангард\Майка МЦ-12\МЦ-12 КРм\2.jpg,.there\image\Вежливый авангард\Майка МЦ-12\МЦ-12 КРм\3.jpg,.there\image\Вежливый авангард\Майка МЦ-12\МЦ-12 КРм\4.jpg","2024-02-22","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","2024-02-22 08:42:46","2024-02-23 10:01:16","NULL",NULL
"6","Майка","МЦ-12/СРш","M, L, XL, XXL","серый","шерсть","шерсть 40%, вискоза 40%, полиэстер 20%","14300",".there\image\Вежливый авангард\Майка МЦ-12\МЦ-12 СРш\4.jpg,.there\image\Вежливый авангард\Майка МЦ-12\МЦ-12 СРш\1.jpg,.there\image\Вежливый авангард\Майка МЦ-12\МЦ-12 СРш\2.jpg,.there\image\Вежливый авангард\Майка МЦ-12\МЦ-12 СРш\3.jpg","2024-02-22","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","2024-02-22 08:42:46","2024-02-23 10:01:18","NULL",NULL
"7","Мантия","МтР-1.1/КРм","one size, oversize","коричевый","шерсть","мохер 80%, полиэстер 20%","38300",".there\image\Вежливый авангард\Мантия МтР-1.1\МтР-1.1 КРм\094A7729.jpg,.there\image\Вежливый авангард\Мантия МтР-1.1\МтР-1.1 КРм\094A7646.jpg,.there\image\Вежливый авангард\Мантия МтР-1.1\МтР-1.1 КРм\094A7654.jpg,.there\image\Вежливый авангард\Мантия МтР-1.1\МтР-1.1 КРм\094A7665.jpg,.there\image\Вежливый авангард\Мантия МтР-1.1\МтР-1.1 КРм\094A7708.jpg,.there\image\Вежливый авангард\Мантия МтР-1.1\МтР-1.1 КРм\094A7723.jpg","2024-02-22","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","2024-02-22 08:42:46","2024-02-23 10:01:19","NULL",NULL
"8","Мантия","МтР-1.1/СРш","one size, oversize","серый","шерсть","шерсть 40%, вискоза 40%, полиэстер 20%","16800",".there\image\Вежливый авангард\Мантия МтР-1.1\МтР-1.1 СРш\6.jpg,.there\image\Вежливый авангард\Мантия МтР-1.1\МтР-1.1 СРш\1.jpg,.there\image\Вежливый авангард\Мантия МтР-1.1\МтР-1.1 СРш\2.jpg,.there\image\Вежливый авангард\Мантия МтР-1.1\МтР-1.1 СРш\3.jpg,.there\image\Вежливый авангард\Мантия МтР-1.1\МтР-1.1 СРш\4.jpg,.there\image\Вежливый авангард\Мантия МтР-1.1\МтР-1.1 СРш\5.jpg","2024-02-22","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","2024-02-22 08:42:46","2024-02-23 10:01:21","NULL",NULL
"9","Туника","ТнДР-27.1/КРм","oversize","коричневый","шерсть","мохер 80%, полиэстер 20%","37800",".there\image\Вежливый авангард\Туника ТнДР-27.1\ТнДР-27.1 КРм\5.jpg,.there\image\Вежливый авангард\Туника ТнДР-27.1\ТнДР-27.1 КРм\1.jpg,.there\image\Вежливый авангард\Туника ТнДР-27.1\ТнДР-27.1 КРм\2.jpg,.there\image\Вежливый авангард\Туника ТнДР-27.1\ТнДР-27.1 КРм\3.jpg,.there\image\Вежливый авангард\Туника ТнДР-27.1\ТнДР-27.1 КРм\4.jpg","2024-02-22","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","2024-02-22 08:42:46","2024-02-23 10:01:23","NULL",NULL
"10","Туника","ТнДР-27.1/СРш","oversize","серый","шерсть","шерсть 40%, вискоза 40%, полиэстер 20%","21800",".there\image\Вежливый авангард\Туника ТнДР-27.1\ТнДР-27.1 СРш\4.jpg,.there\image\Вежливый авангард\Туника ТнДР-27.1\ТнДР-27.1 СРш\1.jpg,.there\image\Вежливый авангард\Туника ТнДР-27.1\ТнДР-27.1 СРш\2.jpg,.there\image\Вежливый авангард\Туника ТнДР-27.1\ТнДР-27.1 СРш\3.jpg","2024-02-22","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","2024-02-22 08:42:46","2024-02-23 10:01:24","NULL",NULL
"11","Туника","ТнДРЦ-27.1/КРм","oversize","коричневый","шерсть","мохер 80%, полиэстер 20%","39800",".there\image\Вежливый авангард\Туника ТнДР-27.1\ТнДРЦ-27.1 КРм\6.jpg,.there\image\Вежливый авангард\Туника ТнДР-27.1\ТнДРЦ-27.1 КРм\1.jpg,.there\image\Вежливый авангард\Туника ТнДР-27.1\ТнДРЦ-27.1 КРм\2.jpg,.there\image\Вежливый авангард\Туника ТнДР-27.1\ТнДРЦ-27.1 КРм\3.jpg,.there\image\Вежливый авангард\Туника ТнДР-27.1\ТнДРЦ-27.1 КРм\4.jpg,.there\image\Вежливый авангард\Туника ТнДР-27.1\ТнДРЦ-27.1 КРм\5.jpg","2024-02-22","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","2024-02-22 08:42:46","2024-02-23 10:01:26","NULL",NULL
